# List of additional categories for OSM objects.
# Format: type,id,key1=value1,key2=value2,...
# Example: way,34306743,olympics=stadium

# CIAN, from https://docs.google.com/spreadsheets/d/1-eL6vc107oKAZaZB9joJTqe3W_I8JYQWTZWc5RvB434/edit#gid=1154687572
node,1038906880,sponsored=tinkoff
node,1039411120,sponsored=tinkoff
node,1050228943,sponsored=tinkoff
node,1052527316,sponsored=tinkoff
node,1055505112,sponsored=tinkoff
node,1059180405,sponsored=tinkoff
node,1078599550,sponsored=tinkoff
node,1082826589,sponsored=tinkoff
node,1096216931,sponsored=tinkoff
node,1098760564,sponsored=tinkoff
node,1102570164,sponsored=tinkoff
node,1106126436,sponsored=tinkoff
node,1106153720,sponsored=tinkoff
node,1112551480,sponsored=tinkoff
node,1112551481,sponsored=tinkoff
node,1121599675,sponsored=tinkoff
node,1123350966,sponsored=tinkoff
node,1128714697,sponsored=tinkoff
node,1131047060,sponsored=tinkoff
node,1131248423,sponsored=tinkoff
node,1131269523,sponsored=tinkoff
node,1139531290,sponsored=tinkoff
node,1141986132,sponsored=tinkoff
node,1147789000,sponsored=tinkoff
node,1147789001,sponsored=tinkoff
node,1161174305,sponsored=tinkoff
node,1166811689,sponsored=tinkoff
node,1168331500,sponsored=tinkoff
node,1183457572,sponsored=tinkoff
node,1201457599,sponsored=tinkoff
node,1201457609,sponsored=tinkoff
node,1201461570,sponsored=tinkoff
node,1201461576,sponsored=tinkoff
node,1201461584,sponsored=tinkoff
node,1201734648,sponsored=tinkoff
node,1203094371,sponsored=tinkoff
node,1203119691,sponsored=tinkoff
node,1209419537,sponsored=tinkoff
